NAME	LAT	LNG	CAPACITY	LANGUAGES
Quo Vadis	42.573337	1.483382	200	
Borda Jovell	42.536143	1.516434	40	CA,ES,FR,EN
Moli Dels Fanals	42.533315	1.516312	100	CA,ES,FR,EN,PT
BambÏ Oriental (Palarine)	42.561501	1.497488	65	CA,ES,FR,EN,ZH
Restaurant Pontones	42.496096	1.502635	100	
Residencia-Restaurant Indalo	42.510045	1.531635	50	CA,ES,FR,EN,PT
Cantina De La Adelita	42.507826	1.521954	40	CA,ES,FR,EN
Don Pernil	42.494932	1.497703	140	CA,ES,FR,EN,PT
Bar Restaurant La Nogreda	42.500946	1.519072	35	CA,ES
La Taverna D'En Mallol	42.50701	1.531788	45	CA,ES,FR,PT
El Rebost Del Padri	42.506896	1.521099	15	CA,ES,FR,EN
El Cap Bo	42.508734	1.532335		CA,ES,FR,EN
Pizzeria Cal Cuba	42.506433	1.516054	20	CA,ES,FR,EN
L'Estela	42.505165	1.51842	60	CA,ES,FR,EN
Casa Teva	42.500334	1.508026	60	CA,ES,FR,PT
Valor	42.495446	1.498714	30	CA,ES,FR,PT
Restaurant Borda Poblado	42.490982	1.496378	200	CA,ES,FR
Restaurant Cafeteria L'Orri	42.507184	1.525855	70	CA,ES,FR,PT
Centric Hotel	42.508339	1.531348	110	CA,ES,FR,EN
(Mercure Andorra) El Jardi	42.507726	1.527459		CA,ES,FR,EN,RU,PT
Novotel El Grill	42.507603	1.527379	153	CA,ES,FR,EN,PT
La Borda Pairal 1630	42.505643	1.52141	100	CA,ES,FR,EN
Restaurant Versailles	42.507997	1.521754	40	CA,ES,FR,EN
Papanico	42.50758	1.521521	90	CA,ES,FR,EN,RU
Mama Maria	42.50807	1.524965	200	CA,ES,FR,EN,RU,1
Dos Cacadors	42.507524	1.522368	50	CA,ES,FR,EN,RU
120	42.508394	1.533402	200	CA,ES,FR,EN,RU,1
Oxalis (President)	41.953669	2.639749	150	CA,ES,FR,EN,PT,RU
Sant Jordi	42.506434	1.518407	60	CA,ES,FR,EN
L'Arrosseria	42.507168	1.521413	30	CA,ES,FR,EN,RU,PT
El Tall A Taula	42.507123	1.531254	100	CA,ES,FR,EN,PT
Can Benet	42.507261	1.520496	33	CA,ES,FR
Retaurant El Burg	42.50457	1.51511	80	CA,ES,FR,EN,PT
Cisco De Sans	42.507032	1.520534	50	CA,ES,FR,EN,PT
Andburguer Zero	42.508173	1.522186	30	CA,ES,FR,EN
Eatalian Republic	42.50704	1.526075		CA,ES,FR,EN,PT,IT
Angelo & Friends	42.507336	1.533083	100	CA,ES,FR,EN,PT
Burguer King	42.506132	1.532367	260	CA,ES,FR,EN,PT
La Cava	42.508355	1.52195	46	CA,ES,FR,EN,PT
Eximi	42.508054	1.522881	60	CA,ES,FR,EN,PT
La Brasa D'En Josep	42.494074	1.499897	40	CA,ES,FR,PT
La Adelita	42.507764	1.52194	35	CA,ES,FR,EN
El Grill	42.536523	1.49163	285	CA,ES,FR,EN,RU,PT
1940	42.507414	1.519675	100	CA,ES,FR,EN,RU,PT
Taberna Angel Belmonte	42.507421	1.530812	80	CA,ES,FR,EN,PT
Restaurant Ca La Conxita	42.508792	1.522307	30	CA,ES,FR,PT
El Crosto	42.508159	1.522191	20	CA,ES,FR,IT
La Mossegada	42.508964	1.529149	140	CA,ES,FR,PT
3 Eixos	42.507999	1.527796	80	CA,ES
Mes Bo	42.509972	1.531451	40	CA,ES,FR,GL
Bodega Poblet	42.508742	1.52137	30	CA,ES,FR,EN,PT
Vilarrasa	42.508272	1.521311	70	CA,ES,FR,EN,RU,PT
L'Olive (Tivoli)	42.50771	1.531911	53	CA,ES,FR,EN
El Bon Raco	42.495106	1.504494	210	CA,ES,FR,EN,PT
Restaurant Henri	42.507003	1.526093		CA,ES,EN,RU,PT
Mc Donald's	42.507979	1.524892	160	CA,ES,FR,PT
Mc Donald's	42.508521	1.533526	120	CA,ES,FR,PT
Mc Donald's	42.505136	1.528076	200	CA,ES,FR,PT
L'Aquari	42.500273	1.517553	50	CA,ES,PT
Restaurant Central	42.505612	1.526125		CA,ES,FR,PT
La Piazza	42.507672	1.531553	96	CA,ES,FR,EN,PT
Celler D'En Toni	42.507117	1.531842	60	CA,ES,FR,EN,PT
El Japo	42.508907	1.528738	36	CA,ES,FR,EN,PT
Viena	42.495343	1.505299		CA,ES,FR,EN,RU
Casa Teresa	42.507955	1.528832	125	CA,ES,FR
Bellpi	42.503825	1.514091	30	CA,ES,FR,PT
Restaurant Pizzeria La Cantina	42.508206	1.521596	30	CA,ES,FR,EN,RU
Trevol Verd	42.499751	1.508866	60	CA,ES,FR,PT
Can Jovi	42.497732	1.503282	60	CA,ES,FR,EN,PT
L'AigÙeta	42.505191	1.525394	160	CA,ES,FR,EN,PT
La Sardana	42.506433	1.530554		CA,ES,PT
Sushi & Gong	42.508037	1.522708	30	CA,ES,EN,1
Pizzeria Primavera	42.507026	1.529996	70	CA,ES,FR,EN
The Family Arms	42.507496	1.522937	60	CA,ES,FR,EN,RU,PT
Restaurant Plaza	42.506317	1.521836		CA,ES,FR,EN,PT
Diplomatic	42.505386	1.528712	85	CA,ES,FR,EN,PT
La Boheme	42.507864	1.523602	40	CA,ES,FR,EN,RU,PT
Fresc Co	42.509174	1.527422	80	CA,ES,FR,EN,PT
L'Escenari De Les Pizzes	42.509819	1.531081	16	CA,ES,FR,EN
Borda Estevet	42.503297	1.519555	180	CA,ES,FR,EN
Plat'In	42.507485	1.531799	34	CA,ES,FR,EN,PT
Temple Buddha	42.50063	1.512837	110	CA,ES,FR,EN,RU,NO
