obstacle,vertX,vertY
290,849.90137,4.774811
290,850.07654,14.325806
290,866.3239,14.361206
290,866.1398,4.805908
290,849.90137,4.774811
289,831.80304,20.687561
289,833.6982,25.448608
289,849.20056,19.51831
289,847.23724,14.900085
289,831.80304,20.687561
288,819.7636,21.782654
288,819.3578,26.322815
288,827.73816,26.462952
288,827.799,22.634827
288,819.7636,21.782654
287,808.75446,17.408173
287,806.54767,21.965912
287,814.40283,25.712616
287,816.5962,21.148499
287,808.75446,17.408173
286,790.4538,18.32196
286,794.33167,7.54834
286,804.6666,11.601257
286,801.52454,21.498566
286,790.4538,18.32196
285,776.7718,4.081787
285,784.9478,13.591858
285,792.3801,6.6175537
285,783.8725,-2.1741333
285,776.7718,4.081787
284,556.7245,-0.06472778
284,540.9578,3.8110046
284,543.2423,11.387604
284,547.40375,25.820496
284,560.33887,22.69806
284,557.0187,12.52356
284,560.3817,11.322449
284,556.7245,-0.06472778
283,622.9302,45.714996
283,618.24585,50.3183
283,617.7128,53.74582
283,622.4339,57.92627
283,627.93225,52.834595
283,622.9302,45.714996
282,595.807,4.3755493
282,594.5006,4.8043823
282,593.938,4.53598
282,592.46747,4.7112427
282,592.2499,3.730835
282,590.21106,4.5115967
282,589.78357,3.4310913
282,586.8447,4.8345337
282,590.15283,14.126617
282,598.0436,11.052673
282,595.807,4.3755493
281,617.4081,61.314667
281,615.3928,61.230072
281,611.63574,69.95743
281,612.2289,75.85072
281,611.21906,80.27803
281,613.4214,83.25711
281,617.23395,85.95218
281,619.81964,87.185486
281,621.61035,88.03963
281,623.704,87.10962
281,632.9706,81.18555
281,633.3004,77.310486
281,617.4081,61.314667
280,637.4862,44.067047
280,631.6533,46.19397
280,634.82196,54.19229
280,638.0779,52.940094
280,637.37354,51.72754
280,639.50726,50.81668
280,637.4862,44.067047
279,518.82214,19.901947
279,510.62567,21.778076
279,505.4191,24.028381
279,500.72723,26.348907
279,496.13138,29.065796
279,491.32428,33.259888
279,499.81946,43.27289
279,502.85895,40.86554
279,504.94916,39.758636
279,507.37888,38.112427
279,509.63208,37.4339
279,511.61404,36.450653
279,522.10626,32.86441
279,518.82214,19.901947
278,525.2681,16.489563
278,529.4909,31.828278
278,547.40375,25.820496
278,543.2423,11.387604
278,525.2681,16.489563
277,609.53973,30.737244
277,607.8696,29.940643
277,606.4004,29.239838
277,603.0698,29.579834
277,576.5608,36.922485
277,580.56195,48.473724
277,612.81354,54.214172
277,614.9932,52.44864
277,616.0355,47.160156
277,619.75183,43.322388
277,609.53973,30.737244
276,640.88806,53.40387
276,631.9727,62.476044
276,636.6033,67.48988
276,643.8347,60.419662
276,640.88806,53.40387
275,639.99994,65.25284
275,635.47644,69.9328
275,642.151,76.79825
275,647.0108,71.40201
275,639.99994,65.25284
274,602.7456,16.100647
274,590.6533,19.800385
274,590.437,17.94394
274,574.6602,22.691406
274,572.78424,24.601807
274,575.6266,34.54834
274,605.36145,25.06253
274,602.7456,16.100647
273,560.33887,22.69806
273,557.0187,12.52356
273,560.3817,11.322449
273,571.3506,8.840149
273,570.798,7.700012
273,577.8751,2.3094482
273,581.2805,2.180481
273,584.1332,1.6126099
273,584.3082,3.6246338
273,586.51794,2.750061
273,586.8447,4.8345337
273,590.15283,14.126617
273,560.33887,22.69806
272,657.87305,122.342316
272,662.27325,113.92172
272,659.7156,111.825195
272,655.1758,121.055786
272,636.16876,110.06143
272,629.70825,96.46059
272,629.5813,94.64676
272,629.42737,93.52139
272,630.476,91.39174
272,633.21655,86.7379
272,635.1194,84.8403
272,639.68494,83.33618
272,643.2691,98.370316
272,641.6858,99.36835
272,643.62354,103.09779
272,645.4033,102.19347
272,647.00085,103.83205
272,649.8816,102.40091
272,648.99536,100.22502
272,650.74835,100.009125
272,650.302,97.692444
272,652.0226,97.636505
272,649.34454,85.83972
272,649.75903,84.10887
272,652.1462,83.49425
272,652.7076,84.6387
272,661.0637,83.01398
272,660.92206,82.06976
272,662.33923,79.76529
272,664.14575,79.57498
272,669.0199,100.13342
272,668.20795,101.6747
272,665.481,104.932465
272,668.5177,106.38086
272,667.1741,109.7724
272,670.4341,111.32736
272,675.7527,113.8642
272,669.54645,127.91025
272,657.87305,122.342316
271,657.1133,60.266266
271,651.91113,63.21997
271,657.7176,74.75571
271,662.9923,71.661255
271,657.1133,60.266266
270,688.67285,72.51422
270,665.755,76.6608
270,664.14575,79.57498
270,669.0199,100.13342
270,668.20795,101.6747
270,670.4341,111.32736
270,675.7527,113.8642
270,669.54645,127.91025
270,673.0731,130.46906
270,679.43146,131.57327
270,679.7822,129.98734
270,687.1657,129.8273
270,690.8104,126.65666
270,692.8889,104.6808
270,695.3699,104.1109
270,693.164,93.41597
270,694.67786,94.13805
270,688.67285,72.51422
269,649.07434,19.43872
269,652.559,18.821655
269,655.7212,17.52475
269,655.3844,22.448456
269,669.4098,23.177246
269,668.9255,21.193054
269,667.7068,17.80655
269,666.04913,15.087341
269,665.11035,13.4123535
269,663.0382,12.423981
