Lat,Lon
42.495446,1.498714
42.490982,1.496378
42.507184,1.525855
42.508339,1.531348
42.507726,1.527459
42.507603,1.527379
42.505643,1.52141
42.507997,1.521754
42.50758,1.521521
42.50807,1.524965
42.507524,1.522368
42.508394,1.533402
41.953669,2.639749
42.506434,1.518407
42.507168,1.521413
42.507123,1.531254
42.507261,1.520496
42.50457,1.51511
42.507032,1.520534
42.508173,1.522186
42.50704,1.526075
42.507336,1.533083
42.506132,1.532367
42.508355,1.52195
42.508054,1.522881
42.494074,1.499897
42.507764,1.52194
42.536523,1.49163
42.507414,1.519675
42.507421,1.530812
42.508792,1.522307
42.508159,1.522191
42.508964,1.529149
42.507999,1.527796
42.509972,1.531451
42.508742,1.52137
42.508272,1.521311
42.50771,1.531911
42.495106,1.504494
42.507003,1.526093
42.507979,1.524892
42.508521,1.533526
42.505136,1.528076
42.500273,1.517553
42.505612,1.526125
42.507672,1.531553
42.507117,1.531842
42.508907,1.528738
42.495343,1.505299
42.507955,1.528832
42.503825,1.514091
42.508206,1.521596
42.499751,1.508866
42.497732,1.503282
42.505191,1.525394
42.506433,1.530554
42.508037,1.522708
42.507026,1.529996
42.507496,1.522937
42.506317,1.521836
42.505386,1.528712
42.507864,1.523602
42.509174,1.527422
42.509819,1.531081
42.503297,1.519555
42.507485,1.531799
42.50063,1.512837
42.507093,1.526778
42.506403,1.515821
42.509279,1.522746
42.506963,1.528661
42.508964,1.529095
42.505191,1.525372
42.507908,1.522285
42.499828,1.518549
42.50806,1.525206
42.507216,1.520719
42.50841,1.529953
42.508002,1.521909
42.50823,1.53034
42.507828,1.532662
42.506838,1.52995
42.505169,1.52641
42.503081,1.513228
42.506615,1.530659
42.507671,1.520488
42.506925,1.520784
42.50678,1.528792
42.506762,1.530468
42.496386,1.500396
42.5072,1.520759
42.46939,1.492588
42.476378,1.488862
42.46258,1.50197
42.441131,1.500406
42.446503,1.494613
42.476344,1.49009
42.462984,1.491147
42.47751,1.472608
42.448035,1.481756
42.448035,1.481756
42.458155,1.487768
42.45983,1.489063
42.462614,1.491177
42.465402,1.491233
42.475836,1.48732
42.467562,1.493623
42.468223,1.49339
42.465734,1.495101
42.447761,1.508746
42.462966,1.490962
42.476229,1.488716
42.474671,1.451595
42.508647,1.537131
42.510118,1.53821
42.509211,1.544384
42.510973,1.540436
42.508758,1.537238
42.511194,1.53969
42.508679,1.539105
42.508742,1.54021
42.508691,1.54006
42.517434,1.568223
42.507906,1.534272
42.508889,1.536718
42.508367,1.535897
42.507793,1.53594
42.507943,1.535511
42.51061,1.54204
42.508663,1.536895
42.510848,1.53371
42.51127,1.537525
42.511597,1.537338
42.50773,1.534261
42.509106,1.537873
42.510464,1.541187
42.512886,1.551229
42.512886,1.551229
42.508472,1.536831
42.508189,1.539191
42.509161,1.54182
42.509193,1.53977
42.508386,1.536407
42.510031,1.539752
42.509248,1.539443
42.508583,1.535268
42.508527,1.535892
42.510882,1.535988
42.508647,1.537979
42.508726,1.540189
42.512199,1.535392
42.508568,1.535704
42.50778,1.540967
42.511093,1.538424
42.508632,1.535267
42.509553,1.539615
42.508117,1.538435
42.508082,1.538413
42.510704,1.541176
42.508221,1.536351
42.50856,1.535983
42.509219,1.523036
42.509116,1.52924
42.507088,1.532624
42.507968,1.525226
42.507137,1.526244
42.505857,1.519907
42.5074,1.519648
42.503275,1.513525
42.50642,1.518431
42.50827,1.527125
42.508783,1.522177
42.504978,1.528367
42.509354,1.530051
42.5083,1.531454
42.507769,1.520436
42.50764,1.527413
42.535707,1.583299
42.507885,1.52678
42.504598,1.514288
42.504409,1.515107
42.508031,1.524777
42.503905,1.514015
42.4466,1.494661
42.506103,1.518838
42.534919,1.587221
42.503158,1.51315
42.507496,1.522937
42.50859,1.530739
42.507507,1.531185
42.507499,1.531142
42.508338,1.533162
42.503711,1.513176
42.507853,1.52484
41.70185,2.843397
42.50937,1.544571
42.510635,1.542092
42.50856,1.53655
42.508019,1.538667
42.508249,1.538657
42.509128,1.543259
42.508898,1.540238
42.509222,1.539326
42.509528,1.539636
42.508819,1.539261
42.511541,1.538627
42.50778,1.540933
42.510291,1.54081
42.578394,1.646131
42.5071089,1.5213439
42.5072038,1.5216923
42.5276424,1.5206606
42.5082301,1.5303401
42.506317,1.521835
42.506317,1.521835
42.507873,1.523679
42.506317,1.521835
42.5088588,1.5191881
42.5067779,1.5222804
42.5086133,1.5292124
42.5049937,1.517555
42.5049937,1.517555
42.5091307,1.5399508
42.509447,1.5418069
42.5092335,1.5371291
42.5094549,1.5368931
42.5094549,1.5368931
