"shapeid","x","y"
"9","-120.487709502","35.0397472541"
"10","-120.542560579","35.0786216796"
"10","-120.54003048","35.0780805362"
"10","-120.539452315","35.0780687984"
"10","-120.536941933","35.0781684195"
"10","-120.535755277","35.0780980423"
"10","-120.534567166","35.0779801843"
"10","-120.533265755","35.0779359106"
"10","-120.52993097","35.0775299799"
"10","-120.52689582","35.0774740087"
"10","-120.524560707","35.0766910226"
"10","-120.524142005","35.0762246801"
"10","-120.523532683","35.0751922838"
"10","-120.52316956","35.074653542"
"10","-120.522714034","35.0739267098"
"10","-120.522178427","35.0734152738"
"10","-120.521440735","35.0729080041"
"10","-120.519043721","35.0719836965"
"10","-120.518199264","35.0717636011"
"10","-120.516957146","35.0717654339"
"10","-120.516327073","35.0719446517"
"11","-120.542587989","35.0785736098"
"11","-120.546657117","35.0793676447"
"11","-120.547359561","35.0796617538"
"11","-120.552333551","35.0826217055"
"11","-120.553480148","35.0832627508"
"11","-120.554575621","35.0841186005"
"11","-120.556762002","35.0866141024"
"11","-120.560000347","35.0904175212"
"11","-120.561674808","35.0922349176"
"11","-120.562860797","35.0932075469"
"12","-120.562800834","35.0931375546"
"12","-120.563824638","35.0944698172"
"12","-120.564107821","35.0948383106"
"12","-120.565979866","35.0959445809"
"12","-120.567020093","35.0968727301"
"12","-120.568292752","35.0987697214"
"12","-120.568705912","35.0990460377"
"12","-120.569902498","35.0994246381"
"12","-120.570522252","35.0998391046"
"12","-120.571952794","35.1012339985"
"12","-120.572337099","35.1015109106"
"12","-120.57274659","35.1016685428"
"12","-120.573901038","35.1016204991"
"12","-120.574772608","35.1017683974"
"12","-120.575434621","35.1016832071"
"12","-120.576447632","35.1017331168"
"12","-120.577688718","35.1016832119"
"12","-120.578332221","35.1019308912"
"12","-120.578935015","35.1027256667"
"12","-120.580169479","35.1033883649"
"12","-120.580950729","35.1034193773"
"12","-120.58149352","35.1032179233"
"13","-120.489318033","35.0388343006"
"13","-120.486678379","35.0356930286"
"14","-120.457092479","35.0031874984"
"14","-120.45794166","35.0031704119"
"14","-120.458739441","35.0033954394"
"14","-120.460409352","35.004374365"
"14","-120.463744985","35.0061875845"
"14","-120.466878653","35.0081012282"
"14","-120.47398443","35.0125140139"
"14","-120.477360803","35.0146876724"
"14","-120.478225987","35.0152005094"
"14","-120.48034723","35.016555749"
"15","-120.530810123","35.0004039827"
"15","-120.548497103","35.005411908"
"15","-120.567579999","35.0107699987"
"15","-120.581757131","35.0147909797"
"15","-120.582964577","35.0150708502"
"15","-120.587007033","35.0162955682"
"15","-120.590028863","35.0170608925"
"15","-120.597096106","35.0191031495"
"15","-120.602107645","35.0205073949"
"15","-120.60587632","35.0216080795"
"15","-120.608365313","35.0222666924"
"15","-120.617105184","35.0286906908"
"16","-120.541897386","35.0687694337"
"16","-120.541729998","35.0686100011"
"16","-120.539283349","35.0675181752"
"16","-120.538009999","35.0669300011"
"16","-120.536610311","35.0663304908"
"16","-120.534116106","35.0650989477"
"16","-120.533644718","35.0648152173"
"16","-120.532187819","35.0641832563"
"16","-120.531553138","35.063866008"
"16","-120.528051456","35.0622798067"
"16","-120.527238526","35.0619115405"
"16","-120.527185538","35.0617116544"
"16","-120.527758673","35.0588113612"
"16","-120.527684803","35.055449923"
"16","-120.527641892","35.0534971527"
"16","-120.527443934","35.0530420856"
"16","-120.525759186","35.0511362296"
"16","-120.524454975","35.0495445033"
"16","-120.524345","35.0493066637"
"16","-120.524290003","35.0474000028"
"17","-120.524290003","35.0474000028"
"17","-120.524279998","35.0454900013"
"17","-120.524231557","35.0417071152"
"17","-120.524117617","35.0412246257"
"17","-120.5238","35.0405899973"
"17","-120.523242212","35.04007462"
"17","-120.522340148","35.0396042514"
"17","-120.52164821","35.039410846"
"17","-120.520270002","35.0393599996"
"17","-120.519138741","35.039330742"
"17","-120.517814926","35.0393299993"
"17","-120.514659083","35.0393281706"
"17","-120.511390001","35.0393500011"
"17","-120.510180871","35.039358053"
"17","-120.508079998","35.0393500015"
"17","-120.506192556","35.0393149439"
"17","-120.50379102","35.0388236742"
"17","-120.503437472","35.0386866851"
"17","-120.502800612","35.0382544335"
"17","-120.501809858","35.0365471279"
"17","-120.500815941","35.0348342912"
"17","-120.500259625","35.0338755458"
"17","-120.499858719","35.0335288659"
"17","-120.498884736","35.0332976214"
"17","-120.498181182","35.0330329329"
"17","-120.496990242","35.0321587906"
"17","-120.496050482","35.0314689907"
