XCoord,YCoord,AFFILIATION,AREA,GEOCODE,COMMUTE_TYPE,FIPS,DIST_TO_MIT_KM
-71.1479294,42.40611033,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,8.491124993
-71.08058281,42.36978502,FAC,ENG,OFF_CAMPUS,CRP2,2.50174E+11,2.122896038
-71.34077027,42.45955538,FAC,SCI,OFF_CAMPUS,DRV_PUB,2.50174E+11,29.56727065
-71.02698514,42.17428396,SUP,VPRES,OFF_CAMPUS,WLK_PUB,2.50214E+11,22.22017997
-71.27559483,42.45506562,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,23.57049834
-71.19822895,42.53168067,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,23.0412637
-71.09351595,42.37231324,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,1.396256463
-70.98182477,42.50326593,ADM,VPRES,OFF_CAMPUS,DRV,2.50092E+11,20.65192265
-71.07478379,42.34785092,OTA,SAP,OFF_CAMPUS,UNK,2.50251E+11,2.473984238
-71.11178707,42.39928348,ADM,VPRD,OFF_CAMPUS,DRV,2.50174E+11,4.712987559
-71.45266253,42.71720814,RES,LL,OFF_CAMPUS,UNK,3.3011E+11,57.2725535
-117.861337,33.64216041,OTA,ENG,OFF_CAMPUS,UNK,60590630073,5231.125608
-71.1477464,42.2382614,SUP,DSL,OFF_CAMPUS,UNK,2.50214E+11,14.6126753
-71.42213499,42.55536378,ADM,EVP,OFF_CAMPUS,DRV_PUB,2.50173E+11,42.00598965
-71.07163554,42.43438785,SUP,VPF,OFF_CAMPUS,DRV,2.50173E+11,8.428037994
-71.06363175,42.35850766,RES,SCI,OFF_CAMPUS,WLK_PUB,2.5025E+11,3.324052931
-70.88606573,42.54966922,OTA,ENG,OFF_CAMPUS,HOM,2.50092E+11,30.95243764
-71.24312932,42.40602007,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,16.96972551
-71.61773742,42.26941535,ADM,VPIST,OFF_CAMPUS,WLK_PUB,2.50277E+11,59.07541071
-71.13496455,42.42585553,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,8.634419436
-71.12756661,42.77037864,SUP,OTH,OFF_CAMPUS,DRV,2.50093E+11,43.47407136
-71.06720041,42.36081765,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.5025E+11,2.900384024
-72.65794707,41.33793523,OTA,SCI,OFF_CAMPUS,UNK,90091942012,206.3316167
-71.1422442,42.18254551,ADM,VPIST,OFF_CAMPUS,DRV,2.50214E+11,18.06304203
-71.09304171,42.3714874,OTA,SCI,OFF_CAMPUS,BIC,2.50174E+11,1.263809294
-71.30645503,42.61779578,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,37.40803386
-71.15344568,42.35469817,OTA,ENG,OFF_CAMPUS,DRV_PUB,2.5025E+11,6.521214915
-71.16938185,42.38508318,OTA,VPRES,OFF_CAMPUS,UNK,2.50174E+11,8.889979623
-70.7753524,42.12231171,ADM,SCI,OFF_CAMPUS,DRV,2.50235E+11,43.68853664
-71.10707562,42.37698398,OTA,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.325382963
-71.09857313,42.36765595,SUP,SSM,OFF_CAMPUS,WLK_PUB,2.50174E+11,0.939858405
-71.09794507,42.35757412,OTA,ENG,ON_CAMPUS,WLK_PUB,2.50174E+11,0.761364729
-71.08673838,42.39757726,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,4.293190104
-71.11562504,42.4144716,ADM,DSL,OFF_CAMPUS,DRV,2.50173E+11,6.597342249
-71.10302593,42.37715478,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,2.147049606
-70.68328386,43.11366988,ADM,DUE,OFF_CAMPUS,DRV,2.3031E+11,93.81331481
-71.24231891,42.34344433,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,16.69345957
-71.10304587,42.2645884,SUP,EVP,OFF_CAMPUS,WLK_PUB,2.50251E+11,10.51921003
-71.26582145,42.4760774,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,23.43745442
-71.03431329,42.26985941,RES,LL,OFF_CAMPUS,WLK_PUB,2.50214E+11,11.2856327
-71.135826,42.35074275,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.5025E+11,4.543373755
-71.03086375,42.36601353,SER,DF,OFF_CAMPUS,UNK,2.50251E+11,6.891966654
-71.10878355,42.36345178,OTA,SCI,OFF_CAMPUS,DRV_HOM,2.50174E+11,1.515813951
-71.13414466,42.41908192,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,7.884231249
-70.89592951,42.51261591,SUP,ENG,OFF_CAMPUS,WLK_PUB,2.50092E+11,27.98482302
-71.1394834,42.38234114,ADM,SSM,OFF_CAMPUS,UNK,2.50174E+11,5.715522763
-71.25769341,42.47046618,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,21.82245281
-71.09534332,42.27436677,SER,DSL,OFF_CAMPUS,DRV,2.50251E+11,9.572733861
-71.2341093,42.46227278,OTA,SAP,OFF_CAMPUS,UNK,2.50174E+11,19.16676136
-71.45685617,41.69357588,RES,ENG,OFF_CAMPUS,DRV,4.4003E+11,84.77647815
-71.86999378,42.14371062,RES,LL,OFF_CAMPUS,UNK,2.50278E+11,90.16789389
-70.94785096,42.46435236,SER,WHTKR,OFF_CAMPUS,DRV,2.50092E+11,20.23719348
-71.06458718,42.36263481,RES,OPV,OFF_CAMPUS,WLK_PUB,2.5025E+11,3.303151736
-71.19408255,42.41953764,SER,EVP,OFF_CAMPUS,WLK_PUB,2.50174E+11,12.97892005
-74.36172331,40.73820921,OTA,SSM,OFF_CAMPUS,UNK,3.4013E+11,404.4550052
-71.10370713,42.35929188,FAC,SCI,OFF_CAMPUS,WLK,2.50174E+11,1.111084741
-71.11439492,42.39833149,ADM,LIB,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.097196052
-71.25050004,43.06899315,RES,LL,OFF_CAMPUS,UNK,3.30151E+11,79.5474377
-71.07831945,42.10072824,SUP,LL,OFF_CAMPUS,UNK,2.50215E+11,27.76423299
-71.11317917,42.35428499,OTA,ENG,OFF_CAMPUS,WLK,2.50174E+11,2.184564232
-71.19808602,42.616433,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,31.2406139
-71.12309412,42.48751566,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,14.72094803
-71.02981002,42.3937591,ADM,SSM,OFF_CAMPUS,DRV_PUB,2.50252E+11,8.108943035
-71.11405225,42.37039206,OTA,ENG,OFF_CAMPUS,HOM,2.50174E+11,2.622093197
-71.12976723,42.40419532,RES,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,6.404718437
-71.09735876,42.35589911,OTA,DSL,ON_CAMPUS,UNK,2.50174E+11,0.364101878
-71.10991787,42.35883223,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,1.763787053
-71.09504321,42.38749466,SUP,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.9803423
-71.08179087,42.42720252,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50173E+11,7.841815008
