obstacle,vertX,vertY
297,42.506065,1.5316083
297,42.506084,1.5316252
297,42.5061,1.5316406
297,42.506115,1.531649
297,42.50614,1.5316476
297,42.506332,1.531526
297,42.50635,1.5314755
297,42.506348,1.5314085
297,42.50615,1.5308675
297,42.50612,1.5308186
297,42.506077,1.5307962
297,42.506023,1.5308074
297,42.505955,1.530894
297,42.50593,1.530957
297,42.506065,1.5316083
296,42.50804,1.529572
296,42.50808,1.5297666
296,42.508087,1.529792
296,42.508144,1.5300236
296,42.5082,1.5301899
296,42.508163,1.5303334
296,42.50826,1.5303963
296,42.50819,1.5304847
296,42.50809,1.5305021
296,42.50757,1.5307113
296,42.50752,1.5299475
296,42.50804,1.529572
295,42.507107,1.5311153
295,42.507328,1.5317597
295,42.507397,1.5318654
295,42.507534,1.5319799
295,42.507557,1.5319761
295,42.507694,1.5316747
295,42.507545,1.5315582
295,42.507534,1.5313416
295,42.50752,1.5312665
295,42.507496,1.5309126
295,42.507107,1.5311153
294,42.506138,1.5289484
294,42.506397,1.529334
294,42.50622,1.5295613
294,42.505955,1.5291935
294,42.506138,1.5289484
293,42.510006,1.525437
293,42.509884,1.5254416
293,42.509888,1.5256
293,42.50987,1.5256007
293,42.509872,1.525741
293,42.510014,1.5257356
293,42.510006,1.525437
292,42.510136,1.5265485
292,42.510242,1.5264158
292,42.510273,1.5264617
292,42.510258,1.5264827
292,42.51029,1.5265285
292,42.510277,1.5265442
292,42.510326,1.5266181
292,42.510227,1.5267459
292,42.510162,1.5266525
292,42.510174,1.5266347
292,42.510147,1.526596
292,42.51016,1.526582
292,42.510136,1.5265485
291,42.510376,1.5266978
291,42.51028,1.5268048
291,42.510403,1.5270101
291,42.510498,1.5269032
291,42.510376,1.5266978
290,42.510838,1.5265517
290,42.510693,1.526644
290,42.510803,1.5269605
290,42.51095,1.5268682
290,42.510838,1.5265517
289,42.510468,1.5263472
289,42.510414,1.5264283
289,42.510616,1.5266751
289,42.51067,1.526594
289,42.510468,1.5263472
288,42.510376,1.526123
288,42.51031,1.5261573
288,42.51036,1.5263216
288,42.510426,1.5262874
288,42.510376,1.526123
287,42.51036,1.5258679
287,42.51028,1.5258675
287,42.510277,1.5260551
287,42.510357,1.5260555
287,42.51036,1.5258679
286,42.510235,1.5255203
286,42.510403,1.5254956
286,42.51042,1.5257345
286,42.51025,1.5257652
286,42.510235,1.5255203
285,42.51033,1.5251217
285,42.510258,1.525369
285,42.510403,1.5254492
285,42.510475,1.5252018
285,42.51033,1.5251217
284,42.508896,1.520799
284,42.508728,1.5205282
284,42.508633,1.5206429
284,42.508453,1.520858
284,42.508587,1.5210809
284,42.508717,1.5209217
284,42.50875,1.5209761
284,42.508896,1.520799
283,42.508682,1.5225132
283,42.5086,1.5224648
283,42.50853,1.5224862
283,42.50851,1.5226169
283,42.508625,1.5226767
283,42.508682,1.5225132
282,42.50909,1.5216012
282,42.509075,1.5215797
282,42.509087,1.5215664
282,42.509068,1.5215393
282,42.509075,1.521526
282,42.509052,1.5214936
282,42.509068,1.5214751
282,42.509033,1.521431
282,42.508923,1.5215816
282,42.50901,1.5217068
282,42.50909,1.5216012
281,42.50843,1.5225506
281,42.50841,1.5225104
281,42.508255,1.5225184
281,42.50817,1.5225847
281,42.508114,1.5226061
281,42.508087,1.5226767
281,42.508064,1.5227759
281,42.508068,1.5228376
