,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
121,2,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.51138889,1.530555556
122,10,fr,12/25/14,0,42.51138889,1.530555556,13,0,42.51138889,1.530555556
123,432,sp,12/25/14,0,0.0,0.0,13,0,0.0,0.0
124,5,sp,12/25/14,1,0.0,0.0,13,0,0.0,0.0
125,9,sp,12/25/14,2,0.0,0.0,13,0,0.0,0.0
126,1,sp,12/25/14,3,0.0,0.0,13,0,0.0,0.0
127,13,sp,12/25/14,4,0.0,0.0,13,0,0.0,0.0
128,7,sp,12/25/14,5,0.0,0.0,13,0,0.0,0.0
129,4,sp,12/25/14,6,0.0,0.0,13,0,0.0,0.0
130,102,sp,12/25/14,0,0.0,0.0,13,1,0.0,0.0
131,1036,sp,12/25/14,1,0.0,0.0,13,1,0.0,0.0
132,30,sp,12/25/14,2,0.0,0.0,13,1,0.0,0.0
133,9,sp,12/25/14,3,0.0,0.0,13,1,0.0,0.0
134,16,sp,12/25/14,4,0.0,0.0,13,1,0.0,0.0
135,8,sp,12/25/14,5,0.0,0.0,13,1,0.0,0.0
136,8,sp,12/25/14,6,0.0,0.0,13,1,0.0,0.0
137,7,sp,12/25/14,0,0.0,0.0,13,2,0.0,0.0
138,2,sp,12/25/14,1,0.0,0.0,13,2,0.0,0.0
139,246,sp,12/25/14,2,0.0,0.0,13,2,0.0,0.0
140,6,sp,12/25/14,3,0.0,0.0,13,2,0.0,0.0
141,4,sp,12/25/14,4,0.0,0.0,13,2,0.0,0.0
142,0,sp,12/25/14,5,0.0,0.0,13,2,0.0,0.0
143,1,sp,12/25/14,6,0.0,0.0,13,2,0.0,0.0
144,5,sp,12/25/14,0,0.0,0.0,13,3,0.0,0.0
145,0,sp,12/25/14,1,0.0,0.0,13,3,0.0,0.0
146,4,sp,12/25/14,2,0.0,0.0,13,3,0.0,0.0
147,76,sp,12/25/14,3,0.0,0.0,13,3,0.0,0.0
148,0,sp,12/25/14,4,0.0,0.0,13,3,0.0,0.0
149,0,sp,12/25/14,5,0.0,0.0,13,3,0.0,0.0
150,0,sp,12/25/14,6,0.0,0.0,13,3,0.0,0.0
151,11,sp,12/25/14,0,0.0,0.0,13,4,0.0,0.0
152,2,sp,12/25/14,1,0.0,0.0,13,4,0.0,0.0
153,8,sp,12/25/14,2,0.0,0.0,13,4,0.0,0.0
154,0,sp,12/25/14,3,0.0,0.0,13,4,0.0,0.0
155,103,sp,12/25/14,4,0.0,0.0,13,4,0.0,0.0
156,5,sp,12/25/14,5,0.0,0.0,13,4,0.0,0.0
157,6,sp,12/25/14,6,0.0,0.0,13,4,0.0,0.0
158,1,sp,12/25/14,0,0.0,0.0,13,5,0.0,0.0
159,2,sp,12/25/14,1,0.0,0.0,13,5,0.0,0.0
160,0,sp,12/25/14,2,0.0,0.0,13,5,0.0,0.0
161,0,sp,12/25/14,3,0.0,0.0,13,5,0.0,0.0
162,7,sp,12/25/14,4,0.0,0.0,13,5,0.0,0.0
163,279,sp,12/25/14,5,0.0,0.0,13,5,0.0,0.0
164,27,sp,12/25/14,6,0.0,0.0,13,5,0.0,0.0
165,3,sp,12/25/14,0,0.0,0.0,13,6,0.0,0.0
166,0,sp,12/25/14,1,0.0,0.0,13,6,0.0,0.0
167,1,sp,12/25/14,2,0.0,0.0,13,6,0.0,0.0
168,0,sp,12/25/14,3,0.0,0.0,13,6,0.0,0.0
169,8,sp,12/25/14,4,0.0,0.0,13,6,0.0,0.0
170,30,sp,12/25/14,5,0.0,0.0,13,6,0.0,0.0
171,353,sp,12/25/14,6,0.0,0.0,13,6,0.0,0.0
172,260,fr,12/25/14,0,0.0,0.0,13,0,0.0,0.0
173,5,fr,12/25/14,1,0.0,0.0,13,0,0.0,0.0
174,1,fr,12/25/14,2,0.0,0.0,13,0,0.0,0.0
175,1,fr,12/25/14,3,0.0,0.0,13,0,0.0,0.0
176,1,fr,12/25/14,4,0.0,0.0,13,0,0.0,0.0
177,2,fr,12/25/14,5,0.0,0.0,13,0,0.0,0.0
178,5,fr,12/25/14,6,0.0,0.0,13,0,0.0,0.0
179,6,fr,12/25/14,0,0.0,0.0,13,1,0.0,0.0
180,135,fr,12/25/14,1,0.0,0.0,13,1,0.0,0.0
181,0,fr,12/25/14,2,0.0,0.0,13,1,0.0,0.0
182,0,fr,12/25/14,3,0.0,0.0,13,1,0.0,0.0
183,0,fr,12/25/14,4,0.0,0.0,13,1,0.0,0.0
184,0,fr,12/25/14,5,0.0,0.0,13,1,0.0,0.0
185,0,fr,12/25/14,6,0.0,0.0,13,1,0.0,0.0
186,3,fr,12/25/14,0,0.0,0.0,13,2,0.0,0.0
187,3,fr,12/25/14,1,0.0,0.0,13,2,0.0,0.0
188,155,fr,12/25/14,2,0.0,0.0,13,2,0.0,0.0
189,2,fr,12/25/14,3,0.0,0.0,13,2,0.0,0.0
190,5,fr,12/25/14,4,0.0,0.0,13,2,0.0,0.0
191,1,fr,12/25/14,5,0.0,0.0,13,2,0.0,0.0
192,0,fr,12/25/14,6,0.0,0.0,13,2,0.0,0.0
193,1,fr,12/25/14,0,0.0,0.0,13,3,0.0,0.0
194,0,fr,12/25/14,1,0.0,0.0,13,3,0.0,0.0
195,2,fr,12/25/14,2,0.0,0.0,13,3,0.0,0.0
196,138,fr,12/25/14,3,0.0,0.0,13,3,0.0,0.0
197,0,fr,12/25/14,4,0.0,0.0,13,3,0.0,0.0
198,0,fr,12/25/14,5,0.0,0.0,13,3,0.0,0.0
199,1,fr,12/25/14,6,0.0,0.0,13,3,0.0,0.0
200,11,fr,12/25/14,0,0.0,0.0,13,4,0.0,0.0
201,0,fr,12/25/14,1,0.0,0.0,13,4,0.0,0.0
202,2,fr,12/25/14,2,0.0,0.0,13,4,0.0,0.0
203,1,fr,12/25/14,3,0.0,0.0,13,4,0.0,0.0
204,210,fr,12/25/14,4,0.0,0.0,13,4,0.0,0.0
205,5,fr,12/25/14,5,0.0,0.0,13,4,0.0,0.0
206,5,fr,12/25/14,6,0.0,0.0,13,4,0.0,0.0
207,5,fr,12/25/14,0,0.0,0.0,13,5,0.0,0.0
208,0,fr,12/25/14,1,0.0,0.0,13,5,0.0,0.0
209,1,fr,12/25/14,2,0.0,0.0,13,5,0.0,0.0
210,0,fr,12/25/14,3,0.0,0.0,13,5,0.0,0.0
211,10,fr,12/25/14,4,0.0,0.0,13,5,0.0,0.0
212,509,fr,12/25/14,5,0.0,0.0,13,5,0.0,0.0
213,40,fr,12/25/14,6,0.0,0.0,13,5,0.0,0.0
214,16,fr,12/25/14,0,0.0,0.0,13,6,0.0,0.0
215,1,fr,12/25/14,1,0.0,0.0,13,6,0.0,0.0
216,0,fr,12/25/14,2,0.0,0.0,13,6,0.0,0.0
217,0,fr,12/25/14,3,0.0,0.0,13,6,0.0,0.0
218,14,fr,12/25/14,4,0.0,0.0,13,6,0.0,0.0
219,45,fr,12/25/14,5,0.0,0.0,13,6,0.0,0.0
220,1240,fr,12/25/14,6,0.0,0.0,13,6,0.0,0.0
