Date,Hour,Lat,Lon,Language
20141109,09 16,42.57673,1.6673712,la
20141109,09 16,42.584446,1.5658333,en
20141109,09 10,42.5093,1.5478935,ca
20141109,09 15,42.584446,1.5658333,la
20141109,09 15,42.508278,1.5386946,ca
20141109,09 15,42.575157,1.6706305,nl
20141109,09 14,42.507984,1.530915,ca
20141109,09 14,42.508812,1.5347587,ca
20141109,09 14,42.584446,1.5658333,tl
20141109,09 14,42.584446,1.5658333,cy
20141109,09 14,42.584446,1.5658333,en
20141109,09 13,42.508812,1.5347587,es
20141109,09 13,42.56584,1.4906293,es
20141109,09 13,42.505203,1.5169939,it
20141109,09 13,42.565952,1.5972854,la
20141109,09 12,42.56394,1.6650978,es
20141109,09 12,42.507015,1.5230001,ca
20141109,09 12,42.50736,1.5229197,la
20141109,09 12,42.505203,1.5169939,en
20141109,09 11,42.50797,1.536071,af
20141109,09 11,42.507984,1.530915,es
20141109,09 10,42.532997,1.5183277,zh
20141109,09 10,42.505203,1.5169939,en
20141109,09 10,42.507984,1.530915,ru
20141109,09 00,42.616516,1.5383607,pt
20141109,09 00,42.508335,1.5275826,es
20141109,09 10,42.505203,1.5169939,ca
20141102,02 23,42.55481,1.61627,es
20141102,02 22,42.5422,1.5176551,en
20141102,02 22,42.63152,1.4997989,en
20141102,02 21,42.508545,1.5349162,an
20141102,02 21,42.56597,1.5979456,es
20141102,02 20,42.508812,1.5347587,en
20141102,02 20,42.57913,1.6494856,ca
20141102,02 20,42.5,1.51667,ca
20141102,02 20,42.508545,1.5349162,it
20141102,02 19,42.508545,1.5349162,la
20141102,02 19,42.507984,1.530915,en
20141102,02 19,42.508545,1.5349162,es
20141102,02 18,42.508583,1.5358963,la
20141102,02 18,42.578766,1.6495036,en
20141102,02 18,42.566666,1.6,it
20141102,02 18,42.5811,1.4773664,ca
20141102,02 16,42.507015,1.5230001,en
20141102,02 16,42.5,1.51667,es
20141102,02 15,42.507984,1.530915,es
20141102,02 15,42.508076,1.535551,en
20141102,02 15,42.555904,1.5350853,en
20141102,02 14,42.51122,1.5386822,es
20141102,02 14,42.507984,1.530915,en
20141102,02 14,42.4538,1.4868081,ca
20141102,02 14,42.631687,1.4820896,ca
20141102,02 14,42.442097,1.5022433,en
20141102,02 13,42.4538,1.4868081,es
20141102,02 12,42.508812,1.5347587,am
20141102,02 12,42.631832,1.481895,es
20141102,02 12,42.5,1.51667,en
20141102,02 15,42.508545,1.5349162,en
20141102,02 11,42.508278,1.5386946,fr
20141102,02 11,42.508255,1.5386648,ca*
20141102,02 10,42.507984,1.530915,en
20141102,02 10,42.51142,1.53846,en
20141102,02 10,42.509247,1.5394173,qu
20141102,02 10,42.509113,1.5231277,es
20141102,02 10,42.5,1.51667,es
20141102,02 08,42.509113,1.5231277,en
20141102,02 08,42.508545,1.5349162,en
20141102,02 08,42.508545,1.5349162,ca*
20141102,02 01,42.507984,1.530915,es
20141102,02 00,42.616516,1.5383607,es
20141102,02 00,42.50911,1.5232396,es
20141102,02 00,42.5,1.51667,en
20141102,02 00,42.508545,1.5349162,ca*
20141102,02 00,42.556072,1.5341934,ca
20140815,15 23,42.5,1.51667,es
20140815,15 23,42.511147,1.536243,es
20140815,15 22,42.508545,1.5349162,en
20140815,15 22,42.5,1.5,es
20140815,15 22,42.6191,1.5397646,es
20140815,15 21,42.5333,1.58333,es
20140815,15 20,42.5667,1.6,ru
20140815,15 20,42.5,1.5,es
20140815,15 20,42.5667,1.6,ru
20140815,15 20,42.5667,1.6,ru
20140815,15 19,42.56659,1.5996069,en
20140815,15 19,42.5667,1.6,ru
20140815,15 19,42.5667,1.6,ru
20140815,15 19,42.5667,1.6,ru
20140815,15 19,42.508076,1.535551,es
20140815,15 19,42.525898,1.6879088,es
20140815,15 19,42.531677,1.5733633,en
20140815,15 19,42.525955,1.6879063,ca
20140815,15 19,42.50875,1.5346086,ru
20140815,15 19,42.632137,1.4817085,ca
20140815,15 19,42.590557,1.4447222,ca
20140815,15 17,42.507984,1.530915,ca
20140815,15 17,42.508366,1.533673,pt
20140815,15 17,42.5,1.51667,oc
20140815,15 16,42.556072,1.5341934,en
20140815,15 16,42.508255,1.5386648,eu
20140815,15 16,42.525955,1.6879063,ca
20140815,15 16,42.50855,1.536934,es
20140815,15 15,42.51142,1.53846,en
20140815,15 15,42.53166,1.6984397,es
20140815,15 15,42.509056,1.5300723,ru
20140815,15 16,42.5,1.51667,la
20140815,15 15,42.5,1.5,pt
20140815,15 15,42.503357,1.5193226,ja
20140815,15 15,42.503357,1.5193226,ja
20140815,15 14,42.50881,1.5288486,es
20140815,15 13,42.508896,1.53474,ru
20140815,15 11,42.566418,1.6001465,en
20140815,15 11,42.50875,1.5346086,ru
20140815,15 10,42.532887,1.5237929,es
20140815,15 12,42.556072,1.5341934,es
20140815,15 09,42.508583,1.5358963,es
20140815,15 07,42.50598,1.5229481,en
20140815,15 09,42.508583,1.5358963,es
20140815,15 10,42.458195,1.48777,tl
20140815,15 01,42.53615,1.4913534,en
20140815,15 01,42.556072,1.5341934,ca
20140815,15 00,42.580048,1.5192667,ca
20140815,15 00,42.508236,1.5250447,ru
20140815,15 00,42.46491,1.4913386,ca
20140815,15 00,42.5081,1.5250562,ru
20140815,15 00,42.50826,1.5363744,ru
20140815,15 00,42.5081,1.5250562,ru
