ID;Name;Callsign;Gen;Latitude;Longitude;Altitude (m);Height (m);Frequency (Hz) ;ERP (W?);Polarization;Direction (deg);Aperture (deg);Tilt M;Tilt E
19170;PARKHOTEL-A;0;3G;42.509445;1.523056;0;2;NaN;NaN;;240;65;-5;-5
1091;PAS SUD-0;0;3G;42.53389;1.733056;0;3;NaN;NaN;;300|120;90;0|0;0|0
19091;PAS SUD-F;0;3G;42.538612;1.733056;0;6;NaN;NaN;;350;90;0;0
1090;PAS_BOMBERS-0;0;3G;42.545277;1.730556;0;5;NaN;NaN;;130;65;0;-5
19090;PAS_BOMBERS-F;0;3G;42.545277;1.730556;0;5;NaN;NaN;;130;65;0;-5
480;PAS_CENTRAL_MINI-0;480;3G;42.53278;1.7;0;10;NaN;NaN;;0;360;0;0
481;PESSONS-0;0;3G;42.52611;1.687778;0;3;NaN;NaN;;0;360;0;0
222;PIOLET-0;0;3G;42.5175;1.698333;0;4;NaN;NaN;;60|190;60;0|0;0|0
212;PLA_DE_LA_COT-0;0;3G;42.530277;1.473611;0;2;NaN;NaN;;0;360;0;0
90;POLICIA-0;90;3G;42.50722;1.538056;0;0;NaN;NaN;;40;65;-3;-3
91;POLICIA-1;91;3G;42.50722;1.538056;0;0;NaN;NaN;;280;65;-4;-5
95;POLICIA-5;95;3G;42.50722;1.538056;0;0;NaN;NaN;;40;65;-3;-3
96;POLICIA-6;96;3G;42.50722;1.538056;0;0;NaN;NaN;;280;65;-4;-5
9090;POLICIA-A;9090;3G;42.50722;1.538056;0;0;NaN;NaN;;40;65;-3;-3
9091;POLICIA-B;9091;3G;42.50722;1.538056;0;0;NaN;NaN;;280;65;-4;-5
9260;PRATS_TV_MINI-A;0;3G;42.56167;1.598333;0;5;NaN;NaN;;0;360;0;0
340;PUNT_TROBADA_MINI-0;340;3G;42.448055;1.4825;0;2;NaN;NaN;;240;65;0;0
50;PYRENEES-0;50;3G;42.50833;1.523611;0;2;NaN;NaN;;120;65;-2;-2
51;PYRENEES-1;51;3G;42.50833;1.523611;0;2;NaN;NaN;;230;65;-3;-3
52;PYRENEES-2;52;3G;42.50833;1.523611;0;2;NaN;NaN;;330;65;0;0
