ID,Cluster,Latitude,Longitude,Frequency,Resilience,Mindshare Indicator
26,"Health, Wellness & Fitness",42.36915,-71.10982,1.0,6684.67,61.33
26,"Health, Wellness & Fitness",42.363445,-71.082504,1.0,66705.98,47.9
26,"Health, Wellness & Fitness",42.364254,-71.10304,1.0,213374.25,57.23
26,"Health, Wellness & Fitness",42.3675,-71.07939,1.0,172958.19,165.94
26,"Health, Wellness & Fitness",42.36785,-71.0793,1.0,20039.77,168.83
26,"Health, Wellness & Fitness",42.373615,-71.10973,1.0,2703.03,153.17
27,Higher Education,42.374542,-71.11942,1.0,,
27,Higher Education,42.37089,-71.11508,1.0,200033.6,17.97
27,Higher Education,42.36351,-71.10237,1.0,62.79,163.93
27,Higher Education,42.36693,-71.081665,1.0,286.66,1283.3
28,Hospital & Health Care,42.35843,-71.05978,1.0,133340.1,6.5
28,Hospital & Health Care,42.362816,-71.08402,1.0,218698.6,10.97
28,Hospital & Health Care,42.364758,-71.10326,1.0,3000.24,1.18
28,Hospital & Health Care,42.364758,-71.10326,1.0,6.03,0.17
28,Hospital & Health Care,42.364758,-71.10326,1.0,13358.9,100.5
29,Human Resources,42.372913,-71.094246,1.0,6.1,0.5
29,Human Resources,42.362732,-71.0832,1.0,1369.27,32.37
30,Information Services,42.36237,-71.084595,1.0,149374.16,56.77
30,Information Services,42.361885,-71.08155,1.0,122698.72,11.6
30,Information Services,42.36708,-71.08455,1.0,6.53,2.67
31,Information Technology & Services,42.367123,-71.10822,1.0,125100.42,77.12
31,Information Technology & Services,42.372913,-71.094246,1.0,35.42,27.1
31,Information Technology & Services,42.36391,-71.09197,1.0,125.84,4.21
31,Information Technology & Services,42.36237,-71.084595,1.0,6771.38,374.9
31,Information Technology & Services,42.36273,-71.0832,1.0,2696.57,0.83
31,Information Technology & Services,42.36273,-71.0832,1.0,8059.6,8.0
31,Information Technology & Services,42.36273,-71.0832,1.0,6.33,1.67
31,Information Technology & Services,42.3699,-71.07945,1.0,352.39,11.97
31,Information Technology & Services,42.363346,-71.07871,1.0,4030.85,4.23
31,Information Technology & Services,42.36968,-71.07788,1.0,40.85,54.23
31,Information Technology & Services,42.362762,-71.083496,1.0,4390.7,0.51
31,Information Technology & Services,42.362816,-71.08402,1.0,6.47,2.33
