EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
141	42.50778	1.5325	0	42.504166	1.5272223	0	fr
142	0.0	0.0	5	0.0	0.0	6	fr
143	42.50083	1.5311111	0	42.508335	1.5236111	0	fr
144	42.50083	1.5311111	0	42.50722	1.5380555	0	fr
145	42.508335	1.5236111	0	42.50611	1.5208334	0	fr
146	42.50528	1.5177778	0	42.496666	1.5125	0	sp
147	0.0	0.0	6	0.0	0.0	5	sp
148	0.0	0.0	4	0.0	0.0	5	sp
149	42.508335	1.5236111	0	42.51139	1.5305556	0	sp
150	42.508335	1.5236111	0	42.50611	1.5208334	0	sp
151	0.0	0.0	5	0.0	0.0	6	sp
152	0.0	0.0	2	0.0	0.0	0	sp
153	42.508335	1.5236111	0	42.50778	1.5325	0	sp
154	42.517223	1.5677778	0	42.509445	1.5230556	0	sp
155	42.51139	1.5305556	0	42.504166	1.5272223	0	sp
156	42.50778	1.5325	0	42.509445	1.5230556	0	sp
157	42.50083	1.5311111	0	42.50083	1.5311111	0	sp
158	42.509445	1.5230556	0	42.50083	1.5311111	0	sp
159	42.50778	1.5325	0	42.508335	1.5236111	0	sp
160	42.50778	1.5325	0	42.50722	1.5380555	0	sp
161	42.50722	1.5380555	0	42.50611	1.5208334	0	sp
162	42.50083	1.5311111	0	42.509445	1.5230556	0	sp
163	42.510834	1.5402777	0	42.50778	1.5325	0	other
164	42.508335	1.5236111	0	42.5075	1.5227778	0	other
165	0.0	0.0	0	0.0	0.0	4	other
166	42.50722	1.5380555	0	42.510834	1.5402777	0	other
167	0.0	0.0	2	0.0	0.0	0	other
168	0.0	0.0	5	0.0	0.0	4	other
169	0.0	0.0	5	0.0	0.0	0	other
170	42.50778	1.5325	0	42.508335	1.5236111	0	other
171	42.50722	1.5380555	0	42.508335	1.5236111	0	other
172	42.508335	1.5236111	0	42.50722	1.5380555	0	other
173	42.496666	1.5125	0	42.50611	1.5208334	0	other
174	42.50778	1.5325	0	42.508335	1.5236111	0	fr
175	0.0	0.0	0	0.0	0.0	5	fr
176	0.0	0.0	2	0.0	0.0	3	fr
177	42.50083	1.5311111	0	42.510834	1.5402777	0	fr
178	42.50611	1.5208334	0	42.496666	1.5125	0	sp
179	42.51139	1.5305556	0	42.508335	1.5236111	0	sp
180	42.50528	1.5177778	0	42.50528	1.5177778	0	sp
181	42.508335	1.5236111	0	42.517223	1.5677778	0	sp
182	42.508335	1.5236111	0	42.504166	1.5272223	0	sp
183	42.50083	1.5311111	0	42.50611	1.5208334	0	sp
184	42.508335	1.5236111	0	42.50611	1.5208334	0	other
185	42.508335	1.5236111	0	42.496666	1.4980556	0	other
186	42.50083	1.5311111	0	42.50778	1.5325	0	other
187	42.50611	1.5208334	0	42.50778	1.5325	0	other
188	42.508335	1.5236111	0	42.50083	1.5311111	0	other
189	42.50611	1.5208334	0	42.50083	1.5311111	0	other
190	42.51139	1.5305556	0	42.50722	1.5380555	0	other
191	42.510834	1.5402777	0	42.50722	1.5380555	0	other
192	42.50778	1.5325	0	42.50611	1.5208334	0	fr
193	42.51139	1.5305556	0	42.504166	1.5272223	0	fr
194	0.0	0.0	6	0.0	0.0	0	fr
195	42.508335	1.5236111	0	42.504166	1.5272223	0	fr
196	42.50528	1.5177778	0	42.50083	1.5311111	0	fr
