olat,olon,dlat,dlon,amount,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.50944444,1.523055556,42.50944444,1.523055556,1,,
42.50944444,1.523055556,42.50833333,1.523611111,1,,
42.50944444,1.523055556,42.50944444,1.523055556,3,,
42.46694444,1.491111111,42.46694444,1.491111111,1,,
42.47583333,1.489722222,42.47583333,1.489722222,4,,
42.44805556,1.4825,42.44805556,1.4825,2,,
42.44194444,1.463611111,42.44194444,1.463611111,1,,
42.44194444,1.463611111,42.44194444,1.463611111,1,,
42.47583333,1.489722222,42.47583333,1.489722222,37,,
42.47583333,1.489722222,42.47583333,1.489722222,2,,
42.47583333,1.489722222,42.47583333,1.489722222,1,,
42.47583333,1.489722222,42.47583333,1.489722222,1,,
42.44194444,1.463611111,42.44194444,1.463611111,1,,
42.47416667,1.505555556,42.47416667,1.505555556,1,,
42.47416667,1.505555556,42.46027778,1.491111111,1,,
42.46027778,1.491111111,42.46027778,1.491111111,1,,
42.46027778,1.491111111,42.46027778,1.491111111,1,,
42.46027778,1.491111111,42.46027778,1.491111111,3,,
42.46027778,1.491111111,42.46027778,1.491111111,2,,
42.44805556,1.4825,42.44805556,1.4825,1,,
42.44194444,1.463611111,42.44194444,1.463611111,5,,
42.44194444,1.463611111,42.46027778,1.491111111,2,,
42.44194444,1.463611111,42.44194444,1.463611111,4,,
42.46694444,1.491111111,42.46694444,1.491111111,1,,
42.43194444,1.469166667,42.43194444,1.469166667,3,,
42.43194444,1.469166667,42.43194444,1.469166667,1,,
42.43194444,1.469166667,42.43194444,1.469166667,1,,
42.46027778,1.491111111,42.46027778,1.491111111,4,,
42.46027778,1.491111111,42.46027778,1.491111111,1,,
42.46027778,1.491111111,42.46027778,1.491111111,24,,
42.46027778,1.491111111,42.44194444,1.463611111,2,,
42.46027778,1.491111111,42.46027778,1.491111111,61,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.5525,1.514444444,42.5525,1.514444444,2,,
42.5525,1.514444444,42.53638889,1.516111111,1,,
42.53638889,1.516111111,42.53638889,1.516111111,1,,
42.49666667,1.5125,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.53638889,1.516111111,42.53638889,1.516111111,20,,
42.53638889,1.516111111,42.54444444,1.516944444,1,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.55722222,1.497777778,6,,
42.54583333,1.540277778,42.53638889,1.516111111,1,,
42.54583333,1.540277778,42.54583333,1.540277778,42,,
42.54583333,1.540277778,42.53638889,1.516111111,1,,
42.54583333,1.540277778,42.53638889,1.516111111,1,,
42.55722222,1.493611111,42.54583333,1.540277778,1,,
42.55722222,1.493611111,42.55722222,1.493611111,5,,
42.55722222,1.493611111,42.53638889,1.516111111,2,,
42.53638889,1.516111111,42.55722222,1.493611111,2,,
42.53638889,1.516111111,42.53638889,1.516111111,6,,
42.53638889,1.516111111,42.54583333,1.540277778,1,,
42.53638889,1.516111111,42.53638889,1.516111111,2,,
42.54444444,1.516944444,42.54583333,1.540277778,1,,
42.54444444,1.516944444,42.54444444,1.516944444,4,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.54444444,1.516944444,42.54444444,1.516944444,2,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.55277778,1.533611111,42.55277778,1.533611111,11,,
42.53638889,1.516111111,42.53638889,1.516111111,4,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.54444444,1.516944444,28,,
42.55277778,1.533611111,42.55277778,1.533611111,1,,
42.50722222,1.538055556,42.55722222,1.497777778,1,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.54444444,1.516944444,2,,
42.55277778,1.533611111,42.55277778,1.533611111,2,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.55722222,1.497777778,7,,
42.55277778,1.533611111,42.55277778,1.533611111,6,,
42.55277778,1.533611111,42.55277778,1.533611111,2,,
42.53638889,1.516111111,42.53638889,1.516111111,3,,
42.53638889,1.516111111,42.53638889,1.516111111,2,,
42.53638889,1.516111111,42.54444444,1.516944444,1,,
42.53638889,1.516111111,42.53638889,1.516111111,25,,
42.53638889,1.516111111,42.54583333,1.540277778,1,,
42.53638889,1.516111111,42.54444444,1.516944444,1,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.55722222,1.497777778,3,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.58083333,1.4775,3,,
42.55722222,1.497777778,42.55722222,1.497777778,2,,
42.58083333,1.4775,42.55722222,1.497777778,1,,
42.58083333,1.4775,42.55722222,1.497777778,1,,
42.58083333,1.4775,42.55722222,1.497777778,2,,
42.58083333,1.4775,42.58083333,1.4775,7,,
42.58083333,1.4775,42.55722222,1.497777778,3,,
42.55277778,1.533611111,42.55277778,1.533611111,1,,
42.5525,1.514444444,42.5525,1.514444444,3,,
42.54583333,1.540277778,42.55722222,1.497777778,1,,
42.55722222,1.493611111,42.55277778,1.533611111,1,,
42.55722222,1.493611111,42.55722222,1.493611111,13,,
42.55722222,1.493611111,42.53638889,1.516111111,3,,
42.53638889,1.516111111,42.53638889,1.516111111,2,,
42.53638889,1.516111111,42.55722222,1.493611111,2,,
42.53638889,1.516111111,42.53638889,1.516111111,13,,
42.53638889,1.516111111,42.54444444,1.516944444,1,,
42.54666667,1.563611111,42.55722222,1.497777778,2,,
42.51388889,1.495555556,42.55722222,1.497777778,1,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.54444444,1.516944444,1,,
42.54444444,1.516944444,42.53638889,1.516111111,1,,
42.54444444,1.516944444,42.54583333,1.540277778,1,,
42.54444444,1.516944444,42.54444444,1.516944444,10,,
42.54444444,1.516944444,42.53638889,1.516111111,1,,
42.54444444,1.516944444,42.53638889,1.516111111,1,,
42.54444444,1.516944444,42.54444444,1.516944444,3,,
42.55277778,1.533611111,42.55277778,1.533611111,2,,
42.55277778,1.533611111,42.55277778,1.533611111,10,,
42.55722222,1.497777778,42.55722222,1.497777778,1,,
42.55722222,1.497777778,42.55722222,1.497777778,2,,
42.55722222,1.497777778,42.58083333,1.4775,1,,
42.55722222,1.497777778,42.58083333,1.4775,1,,
42.55722222,1.497777778,42.55722222,1.497777778,61,,
42.5825,1.519166667,42.5825,1.519166667,3,,
42.62111111,1.538333333,42.62111111,1.538333333,1,,
42.62111111,1.538333333,42.62111111,1.538333333,1,,
42.62111111,1.538333333,42.62111111,1.538333333,6,,
