"shapeid","osm_id","name","ref","type","oneway","bridge","tunnel","maxspeed"
"6727","99967134","Nogal Western","NULL","residential","0","0","0","NULL"
"6728","99967137","Nueces","NULL","residential","0","0","0","NULL"
"6729","99967138","NULL","NULL","residential","0","0","0","NULL"
"6730","99967141","NULL","NULL","residential","0","0","0","NULL"
"6731","99967143","Nogal Negro","NULL","residential","0","0","0","NULL"
"6732","99967144","NULL","NULL","residential","0","0","0","NULL"
"6733","99967146","Palma de Abanico","NULL","residential","0","0","0","NULL"
"6734","99967147","Pablo Moncayo","NULL","residential","0","0","0","NULL"
"6735","99967148","Nogal Pecana Blanco","NULL","residential","0","0","0","NULL"
"6736","99967150","NULL","NULL","residential","0","0","0","NULL"
"6737","99967152","NULL","NULL","unclassified","0","0","0","NULL"
"6738","99967154","Los Nogales","NULL","residential","0","0","0","NULL"
"6739","99967155","NULL","NULL","track","0","0","0","NULL"
"6740","99967160","NULL","NULL","unclassified","0","0","0","NULL"
"6741","99967162","NULL","NULL","residential","0","0","0","NULL"
"6742","99967164","Nogal de Alfoncigo","NULL","residential","0","0","0","NULL"
"6743","99967166","NULL","NULL","residential","0","0","0","NULL"
"6744","99967167","NULL","NULL","residential","0","0","0","NULL"
"6745","99967169","San José de los Cerritos","NULL","residential","0","0","0","NULL"
"6746","99967171","Aguanueva","NULL","residential","0","0","0","NULL"
"6747","99967172","Nogal de Brasil","NULL","residential","0","0","0","NULL"
"6748","99967173","NULL","NULL","residential","0","0","0","NULL"
"6749","99967174","Sergio G. Cabral","NULL","residential","0","0","0","NULL"
"6750","99967175","Silvestre Revueltas","NULL","residential","0","0","0","NULL"
"6751","99967176","Ciruelo","NULL","residential","0","0","0","NULL"
"6752","99967177","NULL","NULL","residential","0","0","0","NULL"
"6753","99967178","Nogal Cheyenne","NULL","residential","0","0","0","NULL"
"6754","99967179","NULL","NULL","track","0","0","0","NULL"
"6755","99967180","NULL","NULL","residential","0","0","0","NULL"
"6756","99967181","Hebreos","NULL","residential","0","0","0","NULL"
"6757","99967182","NULL","NULL","unclassified","0","0","0","NULL"
"6758","99967183","NULL","NULL","residential","0","0","0","NULL"
"6759","99967185","Malaquías","NULL","residential","0","0","0","NULL"
"6760","99967188","Calixto Contreras","NULL","residential","0","0","0","NULL"
"6761","99967189","Álamos","NULL","residential","0","0","0","NULL"
"6762","99967190","NULL","NULL","residential","0","0","0","NULL"
