,country,date,hour,origin_lat,origin_lon,origin_container,destination_lat,destination_lon,destination_container,amount
9266,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
9267,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
9268,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,8
9541,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,2
9596,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
9599,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,11
9872,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,3
9930,fr,2015.07.12,0,42.56611111,1.5975,4,42.56611111,1.5975,4,129
9994,fr,2015.07.12,0,42.56611111,1.5975,4,42.56805556,1.600277778,4,1
10261,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,13
10263,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
10352,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,1
10417,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51138889,1.530555556,0,2
10592,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
10594,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
10681,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,2
10866,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
